eps_c_MeVfm3,B_MeVfm3,Delta_MeV,epsilon_surface_MeVfm3,alpha,R_aniso_km,M_msun,R_km,compactness_2M_R,max_sigma_over_pr,NEC_pass,SEC_pass,DEC_pass,n_steps,status
1200.0,80,50,272.5273642590275,0.1,8.0,1.8775267668308588,10.175,0.5449605642620415,0.061798029464762046,True,True,True,407,ok
1250.0,80,50,272.5273642590275,0.1,8.0,1.8761290570490357,10.125,0.5472440325948558,0.06156516843389322,True,True,True,405,ok
1300.0,80,50,272.5273642590275,0.1,8.0,1.8736364666817056,10.075,0.5492292173427015,0.06133061942758743,True,True,True,403,ok
1350.0,80,50,272.5273642590275,0.1,8.0,1.870179502321103,10.025,0.5509501023181195,0.06109437274174491,True,True,True,401,ok
1400.0,80,50,272.5273642590275,0.1,8.0,1.8735509721656052,10.0,0.5533231870406368,0.060975609756097573,True,True,True,400,ok
1450.0,80,50,272.5273642590275,0.1,8.0,1.8684265185210076,9.95,0.5545826753413268,0.06073679851536019,True,True,True,398,ok
1500.0,80,50,272.5273642590275,0.1,8.0,1.8689342413643257,9.925,0.556130689925899,0.060616747881804094,True,True,True,397,ok
1550.0,80,50,272.5273642590275,0.1,8.0,1.8637536381714916,9.875,0.5573971663880799,0.06037535068201606,True,True,True,395,ok
1600.0,80,50,272.5273642590275,0.1,8.0,1.8629913360209063,9.85,0.5585833178801961,0.06025400176993899,True,True,True,394,ok
1650.0,80,50,272.5273642590275,0.1,8.0,1.8567464884273044,9.8,0.559551278243545,0.06000999750062485,True,True,True,392,ok
1700.0,80,50,272.5273642590275,0.1,8.0,1.8549583759425485,9.775,0.5604421098481787,0.0598873398333601,True,True,True,391,ok
1750.0,80,50,272.5273642590275,0.1,8.0,1.8478614356732526,9.725,0.5611683239667309,0.05964070770649651,True,True,True,389,ok
