A,x_match,q,compactness_2M_over_R,branch
14.4,4.0,2,2.084526448009296,horizon_interior_static_caution
14.6,4.0,2,2.1134782042316473,horizon_interior_static_caution
14.8,4.0,2,2.142429960453999,horizon_interior_static_caution
15.0,4.0,2,2.17138171667635,horizon_interior_static_caution
15.2,4.0,2,2.200333472898701,horizon_interior_static_caution
15.4,4.0,2,2.229285229121053,horizon_interior_static_caution
15.6,4.0,2,2.2582369853434043,horizon_interior_static_caution
15.8,4.0,2,2.2871887415657555,horizon_interior_static_caution
16.0,4.0,2,2.316140497788107,horizon_interior_static_caution
16.2,4.0,2,2.345092254010458,horizon_interior_static_caution
16.4,4.0,2,2.3740440102328093,horizon_interior_static_caution
16.6,4.0,2,2.4029957664551613,horizon_interior_static_caution
16.8,4.0,2,2.4319475226775125,horizon_interior_static_caution
17.0,4.0,2,2.4608992788998636,horizon_interior_static_caution
17.2,4.0,2,2.489851035122215,horizon_interior_static_caution
17.4,4.0,2,2.518802791344566,horizon_interior_static_caution
17.6,4.0,2,2.547754547566918,horizon_interior_static_caution
17.8,4.0,2,2.576706303789269,horizon_interior_static_caution
18.0,4.0,2,2.60565806001162,horizon_interior_static_caution
18.2,4.0,2,2.6346098162339713,horizon_interior_static_caution
18.4,4.0,2,2.663561572456323,horizon_interior_static_caution
18.6,4.0,2,2.6925133286786744,horizon_interior_static_caution
18.8,4.0,2,2.7214650849010256,horizon_interior_static_caution
19.0,4.0,2,2.750416841123377,horizon_interior_static_caution
19.2,4.0,2,2.7793685973457283,horizon_interior_static_caution
19.400000000000002,4.0,2,2.80832035356808,horizon_interior_static_caution
19.6,4.0,2,2.837272109790431,horizon_interior_static_caution
19.8,4.0,2,2.8662238660127826,horizon_interior_static_caution
20.0,4.0,2,2.8951756222351337,horizon_interior_static_caution
20.2,4.0,2,2.924127378457485,horizon_interior_static_caution
20.400000000000002,4.0,2,2.953079134679837,horizon_interior_static_caution
20.6,4.0,2,2.982030890902188,horizon_interior_static_caution
20.8,4.0,2,3.010982647124539,horizon_interior_static_caution
21.0,4.0,2,3.0399344033468902,horizon_interior_static_caution
21.2,4.0,2,3.0688861595692414,horizon_interior_static_caution
21.400000000000002,4.0,2,3.097837915791593,horizon_interior_static_caution
21.6,4.0,2,3.1267896720139445,horizon_interior_static_caution
21.8,4.0,2,3.1557414282362957,horizon_interior_static_caution
22.0,4.0,2,3.184693184458647,horizon_interior_static_caution
22.2,4.0,2,3.2136449406809984,horizon_interior_static_caution
22.400000000000002,4.0,2,3.24259669690335,horizon_interior_static_caution
22.6,4.0,2,3.271548453125701,horizon_interior_static_caution
22.8,4.0,2,3.3005002093480527,horizon_interior_static_caution
