r_km,m_msun,epsilon_MeVfm3,p_MeVfm3,phi_raw,f_metric,compactness_2m_r,Phi,gtt_minus
3.275,0.13802533444519763,955.0034503925175,227.4920287111633,0.06098114003022969,0.8755310974229147,0.12446890257708526,-0.7488598160042002,-0.22363955961196555
3.3,0.1409274325562789,951.8185258353553,226.43038719210924,0.06188055350994812,0.8738768070963538,0.12612319290364618,-0.7479604025244817,-0.22404221052207424
3.325,0.14386398021342456,948.6246923864626,225.36577604247833,0.06278574396054225,0.8722167944585874,0.12778320554141262,-0.7470552120738876,-0.2244481796295431
3.35,0.14683498685584376,945.4222120387532,224.29828259324182,0.06369668788430494,0.8705511792995118,0.1294488207004883,-0.7461442681501249,-0.22485747176938442
3.375,0.1498404581450683,942.2113460465193,223.22799392916397,0.0646133616360908,0.8688800811654003,0.1311199188345997,-0.7452275943983391,-0.22527009177626844
3.4,0.15288039599370176,938.9923548886158,222.15499687652934,0.06553574142422978,0.8672036193428886,0.1327963806571114,-0.7443052146102,-0.22568604448372992
3.425,0.1559547985947882,935.7654982320721,221.0793779910149,0.06646380331145427,0.8655219128431252,0.1344780871568748,-0.7433771527229756,-0.22610533472337055
3.45,0.15906366045178763,932.531034896153,220.0012235457085,0.0673975232158397,0.8638350803860932,0.13616491961390673,-0.7424434328185902,-0.22652796732405828
3.475,0.16220697240914497,929.2892228168553,218.9206195192759,0.06833687691175862,0.862143240385104,0.13785675961489594,-0.7415040791226712,-0.22695394711112257
3.5,0.16538472168343893,926.0403190118634,217.8376515842786,0.06928184003084839,0.8604465109314656,0.13955348906853435,-0.7405591160035815,-0.2273832789055465
3.525,0.16859689189509747,922.7845795459608,216.75240509564438,0.0702323880629924,0.8587450097793294,0.1412549902206705,-0.7396085679714375,-0.22781596752315536
3.55,0.17184346310066675,919.5222594969064,215.66496507929293,0.07118849635731479,0.8570388543307168,0.14296114566928325,-0.738652459677115,-0.22825201777380197
3.575,0.17512441182561922,916.2536129217802,214.5754162209176,0.07215014012318896,0.8553281616207273,0.14467183837927264,-0.7376908159112409,-0.22869143446054868
3.6,0.178439711097688,912.978892823806,213.4838428549262,0.07311729443125949,0.8536130483029338,0.14638695169706614,-0.7367236616031704,-0.22913422237884667
3.625,0.18178933048071333,909.6983511196521,212.3903289535415,0.07408993421447778,0.8518936306349624,0.14810636936503763,-0.7357510218199521,-0.22958038631571187
3.65,0.1851732361089875,906.4122386072208,211.29495811606444,0.07506803426915133,0.8501700244642627,0.14982997553573735,-0.7347729217652785,-0.23002993104889796
3.675,0.18859139072208422,903.1208049339276,210.19781355829997,0.07605156925600656,0.8484423452140698,0.1515576547859302,-0.7337893867784233,-0.2304828613460668
3.7,0.1920437537001593,899.8242985654748,209.09897810214903,0.0770405137012653,0.8467107078695588,0.15328929213044115,-0.7328004423331645,-0.230939181963956
3.725,0.19553028109970752,896.5229667551276,207.99853416536672,0.07803484199773485,0.8449752269641951,0.1550247730358049,-0.731806114036695,-0.23139889764754384
3.75,0.19905092568976301,893.2170555134935,206.89656375148869,0.07903452840591164,0.8432360165662814,0.15676398343371858,-0.7308064276285182,-0.23186201312921195
3.775,0.20260563698852832,889.9068095788081,205.7931484399269,0.08003954705509854,0.8414931902657042,0.15850680973429576,-0.7298014089793313,-0.2323285331279052
3.8,0.20619436130041877,886.5924723877366,204.68836937623638,0.08104987194453557,0.8397468611608807,0.16025313883911932,-0.7287910840898942,-0.23279846234828946
3.825,0.20981704175350743,883.2742860466897,203.58230726255405,0.08206547694454427,0.8379971418459075,0.16200285815409257,-0.7277754790898856,-0.23327180547990733
3.85,0.2134736183373574,879.9524913036587,202.4750423482104,0.08308633579768557,0.8362441443979138,0.16375585560208616,-0.7267546202367443,-0.23374856719633172
3.875,0.21716402794122705,876.6273275205751,201.36665442051586,0.08411242211993099,0.8344879803646199,0.1655120196353801,-0.7257285339144989,-0.2342287521543171
3.9,0.2208882043926344,873.2990326461945,200.25722279572236,0.08514370940184746,0.8327287607521012,0.16727123924789875,-0.7246972466325824,-0.23471236499294942
3.925,0.2246460784962661,869.9678431895109,199.14682631016115,0.0861801710097954,0.8309665960127618,0.1690334039872382,-0.7236607850246345,-0.23519941033279396
3.95,0.228437578073218,866.6339941937013,198.0355433115579,0.08722178018714019,0.829201596033516,0.17079840396648405,-0.7226191758472896,-0.2356898927750417
3.975,0.2322626280005524,863.2977192106046,196.92345165052566,0.08826851005547691,0.827433870124181,0.172566129875819,-0.721572445978953,-0.23618381690065385
4.0,0.23612115025115837,859.9592502757389,195.81062867223716,0.08932033361586837,0.8256635270060808,0.17433647299391916,-0.7205206224185615,-0.2366811872695056
4.025,0.24001306393390193,856.618817883855,194.69715120827578,0.09037722375009628,0.8238906748008625,0.1761093251991374,-0.7194637322843336,-0.23718200841952786
4.05,0.24393828533405076,853.2766509650303,193.5830955686676,0.09143915322192554,0.8221154210195261,0.17788457898047388,-0.7184018028125043,-0.23768628486584834
4.075,0.24789672795396095,849.932976861308,192.46853753409346,0.09250609467838161,0.8203378725516681,0.17966212744833182,-0.7173348613560482,-0.23819402109993137
4.1,0.2518883025540116,846.5880213038749,191.3535523482825,0.09357802065104083,0.8185581356549416,0.1814418643450584,-0.716262935383389,-0.23870522158871674
4.125,0.25591291719377285,843.2420083907905,190.23821471058767,0.09465490355733366,0.8167763159447299,0.18322368405527015,-0.7151860524770962,-0.239219890773758
