r_km,m_msun,epsilon_MeVfm3,p_r_MeVfm3,p_t_MeVfm3,sigma_MeVfm3,anisotropy_ratio_sigma_pr,f_metric,compactness_2m_r,NEC_r,NEC_t,SEC,DEC_r,DEC_t,phi_raw,Phi,gtt_minus
1.35,0.010850452749659662,1157.5502313185248,295.00762235316574,296.6412624966992,1.633640143533426,0.0055376201147024195,0.9762629115416106,0.023737088458389427,1.922944476573067e-09,1.9251071438174558e-09,2.708351647516108e-09,1.1418626401188038e-09,1.1396999728744148e-09,0.010701503863059887,-0.8468461179323999,-0.18383949058317114
1.375,0.011455281861972906,1155.9983794567613,294.4903383992446,296.1803232674594,1.6899848682147784,0.005738676784443918,0.9753953926868065,0.024604607313193444,1.92020528564997e-09,1.922442543917936e-09,2.704392043178616e-09,1.1404930446572555e-09,1.1382557863892896e-09,0.011099888359356857,-0.846447733436103,-0.18398602655879065
1.4,0.012081661070507408,1154.420644520639,293.96442675387044,295.7114560941906,1.7470293403201518,0.005942995755003033,0.9745133961140615,0.025486603885938434,1.917420408225415e-09,1.9197331838659085e-09,2.700365761786839e-09,1.1391006059449778e-09,1.1367878303044842e-09,0.01150545029747786,-0.846042171497982,-0.18413532255841691
1.425,0.012729921415708051,1152.81716395028,293.4299332304175,295.234690214517,1.8047569840994742,0.0061505551401338406,0.9736169977209634,0.026383002279036588,1.914590086896485e-09,1.9169792843149275e-09,2.6962731233493416e-09,1.137685445280513e-09,1.1352962478620705e-09,0.011918182347302454,-0.8456294394481574,-0.1842873824080053
1.45,0.013400390811887578,1151.1880773113876,292.88690435078666,294.75005541586745,1.8631510650808338,0.0063613327786392355,0.972706274538045,0.02729372546195499,1.911714568012149e-09,1.91418106946031e-09,2.6921144530822746e-09,1.136247685838345e-09,1.1337811843901842e-09,0.012338077037123127,-0.8452095447583368,-0.18444220999673647
1.475,0.014093394005285555,1149.5335262765798,292.3353873391841,294.2575820357353,1.9221946965512222,0.006575306240024178,0.9717813047167491,0.028218695283250907,1.908794101640317e-09,1.911338767014772e-09,2.687890081377115e-09,1.1347874526524289e-09,1.1322427872779736e-09,0.012765126753186966,-0.8447824950422729,-0.1845998092767023
1.5,0.014809252532823001,1147.8536546064147,291.77543011579576,293.75730096186527,1.9818708460695558,0.00679245283018868,0.9708421675172267,0.029157832482773222,1.9058289415343423e-09,1.908452608183555e-09,2.6836003437676687e-09,1.1333048725994417e-09,1.1306812059502289e-09,0.013199323739233618,-0.8443482980562262,-0.18476018426258492
1.525,0.015548284681561275,1146.1486081301016,291.207081290358,293.2492436323665,2.042162342008503,0.007012749597157961,0.9698889432959724,0.030111056704027597,1.9028193450989793e-09,1.9055228276390407e-09,2.6792455808963217e-09,1.13180007438176e-09,1.1290965918416985e-09,0.013640660096029792,-0.84390696169943,-0.18492333903133007
1.55,0.016310805448873627,1144.4185347259042,290.63039015562555,292.7334420357472,2.1030518801216536,0.007236173336847257,0.9689217134932971,0.03107828650670291,1.8997655733557905e-09,1.9025496634948537e-09,2.674826138479542e-09,1.1302731885101656e-09,1.1274890983711022e-09,0.014089127780900523,-0.8434584940145593,-0.1850892777218136
1.575,0.01709712650333762,1142.663584301237,290.0454066807365,292.20992871086906,2.164522030132545,0.007462700598858691,0.9679405606206436,0.03205943937935643,1.8966678909080145e-09,1.8995333572794526e-09,2.670342367272627e-09,1.1287243472862778e-09,1.12585888091484e-09,0.014544718607257402,-0.8430029031882025,-0.18525800453450195
