profile,A,x_match,q,compactness_2M_over_R,compactness_class,f_match,min_f_inside,zero_crossings_inside,finite_curvature,regular_center_proxy,Ricci_min,Ricci_max,Ricci_abs_max,K_min,K_max,K_abs_max,rho_center,rho_boundary
untapered,12.0,3.0,2,3.113013953024467,horizon_interior_static_caution,-2.113013953024467,-2.7819133113867904,1,True,True,0.007537469810291242,48.00541651197395,48.00541651197395,0.670592474760741,384.08669340694075,384.08669340694075,1.0,0.012200344097724948
untapered,12.0,3.0,4,3.113013953024467,horizon_interior_static_caution,-2.113013953024467,-2.7819133113867904,1,True,True,0.007537469810291242,48.00541651197395,48.00541651197395,0.670592474760741,384.08669340694075,384.08669340694075,1.0,0.012200344097724948
untapered,12.0,4.0,2,2.582616835388432,horizon_interior_static_caution,-1.582616835388432,-2.7819133113867904,1,True,True,0.0007574268219910918,48.00541651197395,48.00541651197395,0.1799711085349127,384.08669340694075,384.08669340694075,1.0,0.0038899524973518835
untapered,12.0,4.0,4,2.582616835388432,horizon_interior_static_caution,-1.582616835388432,-2.7819133113867904,1,True,True,0.0007574268219910918,48.00541651197395,48.00541651197395,0.1799711085349127,384.08669340694075,384.08669340694075,1.0,0.0038899524973518835
untapered,12.0,5.0,2,2.18583486597853,horizon_interior_static_caution,-1.18583486597853,-2.7819133113867904,1,True,True,0.00012649365038952531,48.00541651197395,48.00541651197395,0.060093909830790396,384.08669340694075,384.08669340694075,1.0,0.0015972633304928048
untapered,12.0,5.0,4,2.18583486597853,horizon_interior_static_caution,-1.18583486597853,-2.7819133113867904,1,True,True,0.00012649365038952531,48.00541651197395,48.00541651197395,0.060093909830790396,384.08669340694075,384.08669340694075,1.0,0.0015972633304928048
untapered,16.0,3.0,2,4.150685270699289,horizon_interior_static_caution,-3.150685270699289,-4.042551081849054,1,True,True,0.010049959645783924,64.00722201609139,64.00722201609139,1.1921643995450752,682.8207882816963,682.8207882816963,1.0,0.012200344097724948
untapered,16.0,3.0,4,4.150685270699289,horizon_interior_static_caution,-3.150685270699289,-4.042551081849054,1,True,True,0.010049959645783924,64.00722201609139,64.00722201609139,1.1921643995450752,682.8207882816963,682.8207882816963,1.0,0.012200344097724948
untapered,16.0,4.0,2,3.4434891138512427,horizon_interior_static_caution,-2.4434891138512427,-4.042551081849054,1,True,True,0.0010099018730869158,64.00722201609139,64.00722201609139,0.3199486371918069,682.8207882816963,682.8207882816963,1.0,0.0038899524973518835
untapered,16.0,4.0,4,3.4434891138512427,horizon_interior_static_caution,-2.4434891138512427,-4.042551081849054,1,True,True,0.0010099018730869158,64.00722201609139,64.00722201609139,0.3199486371918069,682.8207882816963,682.8207882816963,1.0,0.0038899524973518835
untapered,16.0,5.0,2,2.9144464879713734,horizon_interior_static_caution,-1.9144464879713734,-4.042551081849054,1,True,True,0.00016865835205986945,64.00722201609139,64.00722201609139,0.10683361751701333,682.8207882816963,682.8207882816963,1.0,0.0015972633304928048
untapered,16.0,5.0,4,2.9144464879713734,horizon_interior_static_caution,-1.9144464879713734,-4.042551081849054,1,True,True,0.00016865835205986945,64.00722201609139,64.00722201609139,0.10683361751701333,682.8207882816963,682.8207882816963,1.0,0.0015972633304928048
untapered,20.0,3.0,2,5.188356588374111,horizon_interior_static_caution,-4.188356588374111,-5.303188852311318,1,True,True,0.012562449177576873,80.00902752020934,80.00902752020934,1.8627568741505862,1066.9074816926866,1066.9074816926866,1.0,0.012200344097724948
untapered,20.0,3.0,4,5.188356588374111,horizon_interior_static_caution,-4.188356588374111,-5.303188852311318,1,True,True,0.012562449177576873,80.00902752020934,80.00902752020934,1.8627568741505862,1066.9074816926866,1066.9074816926866,1.0,0.012200344097724948
untapered,20.0,4.0,2,4.3043613923140525,horizon_interior_static_caution,-3.3043613923140533,-5.303188852311318,1,True,True,0.0012623775311602081,80.00902752020934,80.00902752020934,0.49991974569894976,1066.9074816926866,1066.9074816926866,1.0,0.0038899524973518835
