xi,phi,eps_tilde,m_tilde,phi_linear
0.0028607854085241024,0.9999971214980352,1.049993667306449,9.85769238587209e-08,0.4237754740112318
0.0029383181338792736,0.9999969105362555,1.0499932031921704,1.0717832314311571e-07,0.42377537874221416
0.0030158508592344445,0.9999966932280766,1.0499927251159837,1.1624583580856279e-07,0.4237752809257676
0.0030933835845896153,0.9999964696083974,1.049992233154677,1.2579176062745887e-07,0.4237751805618939
0.003170916309944786,0.9999962397087037,1.0499917273775299,1.3582839634831188e-07,0.4237750776505949
0.003248449035299957,0.9999960035574761,1.0499912078472105,1.4636804167154905e-07,0.4237749721918725
0.003325981760655128,0.99999576118054,1.0499906746205458,1.5742299527249627e-07,0.42377486418572846
0.0034810472113654695,0.999995257841333,1.0499895672801671,1.8112802176294365e-07,0.4237746405311835
0.003636112662075811,0.9999947298551232,1.0499884057173776,2.0704186444708852e-07,0.42377440668697636
0.0037911781127861533,0.9999941773591106,1.0499871902341171,2.3526291116606846e-07,0.42377416265312373
0.00390747720081891,0.9999937469728015,1.049986243390994,2.580019850464186e-07,0.42377397294079
0.004023776288851666,0.9999933029073117,1.049985266454392,2.8213571086274563e-07,0.4237737774967984
0.004256374464917179,0.9999923738844465,1.0499832226213872,3.347531446491014e-07,0.4237733694138731
0.004488972640982691,0.9999913905441764,1.0499810592935475,3.934472626268671e-07,0.4237729384044142
0.004721570817048205,0.9999903530901919,1.0499787769194038,4.585501112537045e-07,0.4237724844684916
0.004954168993113717,0.9999892616879681,1.0499763758634342,5.303937316042202e-07,0.4237720076061789
0.00518676716917923,0.9999881164733351,1.0499738564249206,6.093101616885186e-07,0.4237715078175536
0.005419365345244743,0.9999869175588413,1.0499712188519457,6.956314333140427e-07,0.42377098510269684
0.005651963521310256,0.999985665038546,1.049968463351939,7.896895749290992e-07,0.42377043946169335
0.006117159873441282,0.9999829994853645,1.0499625992435238,1.002344548663741e-06,0.4237692794016043
0.0065823562255723075,0.9999801203163071,1.0499562652096366,1.2499312043280436e-06,0.42376802763803967
0.006931253489670577,0.9999778209805935,1.049951206796785,1.4601428722617002e-06,0.42376702863544696
0.007280150753768845,0.9999754018173201,1.049945884784693,1.6926180981144514e-06,0.4237659780504699
0.007977945281965384,0.9999702043878085,1.0499344508072854,2.2288409157590847e-06,0.4237637221349163
0.008675739810161922,0.9999645286366744,1.0499219646363578,2.8675627862318056e-06,0.4237612598946742
0.00937353433835846,0.9999583749941803,1.0499084272396157,3.6177461025292896e-06,0.4237585913333402
0.010769123394751537,0.9999446352114829,1.0498782014500663,5.488343484165564e-06,0.4237526352632898
0.012164712451144614,0.9999289867467309,1.0498437773984832,7.912318418650532e-06,0.42374585395956543
0.013560301507537691,0.9999114306454815,1.04980515761781,1.0961344484254692e-05,0.42373824746178823
0.014955890563930768,0.9998919676063972,1.0497623439061192,1.4707076519476434e-05,0.4237298158144008
0.01774706867671692,0.9998473226168801,1.049664140059923,2.4575200662229286e-05,0.42371047727266586
0.020538246789503074,0.9997950547031332,1.0495491749485186,3.808958181520565e-05,0.4236878387862994
0.023329424902289227,0.9997351660361553,1.049417456453964,5.5822800813945825e-05,0.42366190088434214
0.026120603015075378,0.9996676585284857,1.0492689923414376,7.83469340771023e-05,0.4236326641729158
0.030307370184254608,0.9995521160218807,1.0490149160102455,0.0001223665627187957,0.42358262535354024
0.03449413735343384,0.9994194418484964,1.04872321018966,0.0001803790913606556,0.42352516839873966
0.038680904522613066,0.9992696430836124,1.0483939081536369,0.0002543090400349586,0.4234602963289225
0.04286767169179229,0.9991027275031668,1.0480270469898345,0.00034607662181315247,0.4233880125539681
0.051241206030150754,0.998717580888763,1.0471808155120106,0.0005907877145499216,0.4232212254736912
0.059614740368509216,0.998264080162921,1.046184892755655,0.000929793656670536,0.42302484221415554
0.06798827470686768,0.9977423168198769,1.0450397209768303,0.0013783036776664087,0.42279890404048337
