eps_c_MeVfm3,p_c_MeVfm3,B_MeVfm3,Delta_MeV,mu_ref_MeV,epsilon_surface_MeVfm3,pair_pressure_MeVfm3,M_msun,R_km,compactness_2M_R,max_compactness_inside,surface_f_metric,n_steps,status
1050.0,256.66666666666663,70,0,400.0,280.0,0.0,1.797283099629007,10.15,0.5229543801830123,0.5229543801830124,0.47704561981698757,406,ok
1100.0,273.3333333333333,70,0,400.0,280.0,0.0,1.800856803246496,10.1,0.5265882493555386,0.5265882493555387,0.4734117506444613,404,ok
1150.0,290.0,70,0,400.0,280.0,0.0,1.8094956744444652,10.075,0.5304272791083382,0.5304272791083382,0.4695727208916618,403,ok
1200.0,306.66666666666663,70,0,400.0,280.0,0.0,1.8113268267799336,10.025,0.5336122544961006,0.5336122544961006,0.4663877455038994,401,ok
1250.0,323.3333333333333,70,0,400.0,280.0,0.0,1.810584068609652,9.975,0.5360670911646882,0.5360670911646882,0.4639329088353118,399,ok
1300.0,340.0,70,0,400.0,280.0,0.0,1.8165561299104651,9.95,0.5391866088642786,0.5391866088642787,0.4608133911357213,398,ok
1350.0,356.66666666666663,70,0,400.0,280.0,0.0,1.8136859459355377,9.9,0.5410535485689537,0.5410535485689538,0.4589464514310462,396,ok
1400.0,373.3333333333333,70,0,400.0,280.0,0.0,1.8163638857977957,9.875,0.5432242021357625,0.5432242021357625,0.4567757978642375,395,ok
1450.0,390.0,70,0,400.0,280.0,0.0,1.8130939907758958,9.825,0.5450057899590081,0.5450057899590082,0.45499421004099183,393,ok
1500.0,406.66666666666663,70,0,400.0,280.0,0.0,1.8141741316830882,9.8,0.5467216233700661,0.5467216233700661,0.45327837662993387,392,ok
1550.0,423.3333333333333,70,0,400.0,280.0,0.0,1.8095463767470736,9.75,0.5481235464742114,0.5481235464742114,0.45187645352578865,390,ok
1600.0,440.0,70,0,400.0,280.0,0.0,1.810578411616508,9.725,0.5498460182362085,0.5498460182362086,0.4501539817637914,389,ok
1650.0,456.66666666666663,70,0,400.0,280.0,0.0,1.8036169912349285,9.675,0.5505625933208359,0.5505625933208358,0.4494374066791642,387,ok
1700.0,473.3333333333333,70,0,400.0,280.0,0.0,1.8035802385851754,9.65,0.5519776732985673,0.5519776732985673,0.4480223267014327,386,ok
1750.0,490.0,70,0,400.0,280.0,0.0,1.8018413062548453,9.625,0.5528778067529623,0.5528778067529623,0.4471221932470377,385,ok
1800.0,506.66666666666663,70,0,400.0,280.0,0.0,1.7948424659492985,9.575,0.5536061555398532,0.553606155539853,0.44639384446014696,383,ok
1850.0,523.3333333333333,70,0,400.0,280.0,0.0,1.7935254842067851,9.55,0.5546481094501011,0.5546481094501011,0.4453518905498989,382,ok
1900.0,540.0,70,0,400.0,280.0,0.0,1.791841030917356,9.525,0.5555815940169598,0.55558159401696,0.44441840598304005,381,ok
1950.0,556.6666666666666,70,0,400.0,280.0,0.0,1.7886355802711302,9.5,0.5560471473032392,0.5560471473032392,0.44395285269676077,380,ok
2000.0,573.3333333333333,70,0,400.0,280.0,0.0,1.7804267058984218,9.45,0.5564237362342237,0.5564237362342236,0.4435762637657764,378,ok
2050.0,590.0,70,0,400.0,280.0,0.0,1.7778624870353381,9.425,0.5570961590303266,0.5570961590303266,0.4429038409696734,377,ok
2100.0,606.6666666666666,70,0,400.0,280.0,0.0,1.7750403134236978,9.4,0.5576911130202704,0.5576911130202704,0.4423088869797296,376,ok
2150.0,623.3333333333333,70,0,400.0,280.0,0.0,1.771981682774591,9.375,0.558214750724196,0.558214750724196,0.441785249275804,375,ok
2200.0,640.0,70,0,400.0,280.0,0.0,1.7687061370682517,9.35,0.5586726727173311,0.5586726727173311,0.4413273272826689,374,ok
350.0,25.824211913657507,80,50,400.0,272.5273642590275,15.8242119136575,0.6696820133138287,8.4,0.23545217421209122,0.2354521742120912,0.7645478257879088,336,ok
400.0,42.49087858032417,80,50,400.0,272.5273642590275,15.8242119136575,0.9886771948899092,9.4,0.31062758466167867,0.3106275846616786,0.6893724153383214,376,ok
450.0,59.157545246990836,80,50,400.0,272.5273642590275,15.8242119136575,1.208888410256409,9.9,0.3606320960135832,0.36063209601358326,0.6393679039864167,396,ok
500.0,75.8242119136575,80,50,400.0,272.5273642590275,15.8242119136575,1.3727720067789762,10.2,0.39747663041365977,0.3974766304136598,0.6025233695863401,408,ok
550.0,92.49087858032416,80,50,400.0,272.5273642590275,15.8242119136575,1.4879402005240099,10.35,0.4245789751080238,0.4245789751080238,0.5754210248919762,414,ok
600.0,109.15754524699084,80,50,400.0,272.5273642590275,15.8242119136575,1.5709453779474245,10.425,0.4450393143182796,0.4450393143182797,0.5549606856817203,417,ok
